timeStamp,eventType,isMouse,klmId,button
1621978642.4957626,mouseMove,True,Px,0
1621978643.2895765,mouseMove,True,Px,1
1621978643.702414,mouseMove,True,Px,2
1621978643.7830966,mouseMove,True,Px,3
1621978649.7627552,keyStroke,False,k,3
1621978649.8932695,keyStroke,False,k,8
1621978650.0279312,keyStroke,False,k,0
1621978651.9337234,mouseMove,True,Px,6
1621978657.2119427,keyStroke,False,k,7
1621978657.2633698,keyStroke,False,k,8
1621978657.4509974,keyStroke,False,k,9
1621978657.783174,keyStroke,False,k,5
1621978659.1362655,mouseMove,True,Px,3
1621978664.6156435,keyStroke,False,k,9
1621978664.783816,keyStroke,False,k,9
1621978665.2598946,keyStroke,False,k,*
1621978665.6405866,keyStroke,False,k,3
1621978665.7472086,keyStroke,False,k,0
1621978667.086257,mouseMove,True,Px,6
1621978668.1151974,mouseMove,True,Px,*
1621978668.4043634,mouseMove,True,Px,8
1621978669.1272774,mouseMove,True,Px,5
1621978669.542708,mouseMove,True,Px,6
1621978669.8036766,mouseMove,True,Px,6
1621978669.9264631,mouseMove,True,Px,3
1621978670.1104596,mouseMove,True,Px,6
1621978676.6105995,keyStroke,False,k,2
1621978676.7668085,keyStroke,False,k,2
1621978676.9821954,keyStroke,False,k,+
1621978677.3621905,keyStroke,False,k,4
1621978677.550157,keyStroke,False,k,0
1621978679.02619,mouseMove,True,Px,9
1621978679.0561533,mouseMove,True,Px,+
1621979704.6180186,mouseMove,True,Px,0
1621979704.624255,mouseMove,True,Px,1
1621979704.6572173,mouseMove,True,Px,4
1621979704.7086003,mouseMove,True,Px,5
1621979704.7405095,mouseMove,True,Px,8
1621979704.9622817,mouseMove,True,Px,5
1621979707.7351115,mouseMove,True,Px,6
1621979708.186615,mouseMove,True,Px,5
1621979708.5745325,mouseMove,True,Px,8
1621979709.0020144,mouseMove,True,Px,9
1621979709.6396644,mouseMove,True,Px,6
1621979715.069435,keyStroke,False,k,6
1621979715.2315717,keyStroke,False,k,6
1621979715.4476209,keyStroke,False,k,+
1621979715.8316264,keyStroke,False,k,3
1621979715.9755542,keyStroke,False,k,0
1621979719.2078826,mouseMove,True,Px,2
1621979726.6788428,keyStroke,False,k,4
1621979726.8145785,keyStroke,False,k,0
1621979727.2871513,keyStroke,False,k,+
1621979727.6066337,keyStroke,False,k,2
1621979728.4629838,keyStroke,False,k,*
1621979728.834618,keyStroke,False,k,3
1621979728.9265702,keyStroke,False,k,0
1621979730.3437166,mouseMove,True,Px,3
1621979730.4524405,mouseMove,True,Px,3
1621979731.4914317,mouseMove,True,Px,3
1621979738.339385,keyStroke,False,k,8
1621979738.5808432,keyStroke,False,k,5
1621979738.923485,keyStroke,False,k,/
1621979739.1995082,keyStroke,False,k,7
1621979740.5833626,mouseMove,True,Px,3
1621979740.6310055,mouseMove,True,Px,3
